#,título,ano,direção,duração,nota_imdb,nota_letterboxd,gêneros,roteiro,elenco_principal,indicacoes,vitorias,venceu_melhor_filme
241,The Godfather Part III,1990,Francis Ford Coppola,2h 42m,7.6,3.5,"Drama, Policial","Mario Puzo, Francis Ford Coppola","Al Pacino, Diane Keaton, Andy Garcia, Talia Shire, Sofia Coppola",7,0,False
242,Driving Miss Daisy,1989,Bruce Beresford,1h 39m,7.3,3.3,"Comédia, Drama",Alfred Uhry,"Jessica Tandy, Morgan Freeman, Dan Aykroyd, Patti LuPone, Joann Havrilla",9,4,True
243,Born on the Fourth of July,1989,Oliver Stone,2h 25m,7.2,3.7,"Biografia, Drama, Guerra","Ron Kovic, Oliver Stone","Tom Cruise, Bryan Larkin, Raymond J. Barry, Caroline Kava, Josh Evans",8,2,False
244,Dead Poets Society,1989,Peter Weir,2h 8m,8.1,4.3,"Comédia, Drama",Tom Schulman,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen",4,1,False
245,Field of Dreams,1989,Phil Alden Robinson,1h 47m,7.5,3.6,"Drama, Esportes, Família, Fantasia",Phil Alden Robinson,"Kevin Costner, Amy Madigan, James Earl Jones, Ray Liotta, Burt Lancaster",3,0,False
246,My Left Foot: The Story of Christy Brown,1989,Jim Sheridan,1h 43m,7.8,3.9,"Biografia, Drama","Shane Connaughton, Jim Sheridan","Daniel Day-Lewis, Brenda Fricker, Ray McAnally, Fiona Shaw, Hugh O’Conor",5,2,False
247,Rain Man,1988,Barry Levinson,2h 13m,8.0,3.9,Drama,"Barry Morrow, Ron Bass","Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Bonnie Hunt",8,4,True
248,Dangerous Liaisons,1988,Stephen Frears,1h 59m,7.5,3.8,"Drama, Romance",Christopher Hampton,"Glenn Close, John Malkovich, Michelle Pfeiffer, Keanu Reeves, Uma Thurman",7,3,False
249,Mississippi Burning,1988,Alan Parker,2h 8m,7.8,3.9,"Drama, Mistério, Policial, Suspense",Chris Gerolmo,"Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif, R. Lee Ermey",7,1,False
250,The Accidental Tourist,1988,Lawrence Kasdan,2h 1m,6.7,3.3,"Comédia, Drama, Romance",Frank Galati,"William Hurt, Geena Davis, Kathleen Turner, Jeff Daniels, Amy Wright",4,1,False
251,Working Girl,1988,Mike Nichols,1h 53m,6.8,3.4,"Comédia, Drama, Romance","Kevin Wade, Mike Nichols","Melanie Griffith, Harrison Ford, Sigourney Weaver, Alec Baldwin, Joan Cusack",6,1,False
252,The Last Emperor,1987,Bernardo Bertolucci,2h 43m,7.7,3.9,"Biografia, Drama, História","Enzo Ungari, Mark Peploe, Bernardo Bertolucci","John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying, Victor Wong",9,9,True
253,Broadcast News,1987,James L. Brooks,2h 13m,7.3,4.0,"Comédia, Drama, Romance",James L. Brooks,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky, Joan Cusack",7,0,False
254,Fatal Attraction,1987,Adrian Lyne,1h 59m,6.9,3.5,"Drama, Suspense",James Dearden,"Michael Douglas, Glenn Close, Anne Archer, Ellen Latzen, Stuart Pankin",6,0,False
255,Hope and Glory,1987,John Boorman,1h 53m,7.3,3.7,"Comédia, Drama, Romance",John Boorman,"Sarah Miles, David Hayman, Sebastian Rice-Edwards, Geraldine Muir, Sammi Davis",5,0,False
256,Moonstruck,1987,Norman Jewison,1h 42m,7.2,3.8,"Comédia, Drama, Romance",John Patrick Shanley,"Cher, Nicolas Cage, Olympia Dukakis, Vincent Gardenia, Danny Aiello",6,3,False
257,Platoon,1986,Oliver Stone,2h,8.1,4.0,"Drama, Guerra",Oliver Stone,"Charlie Sheen, Willem Dafoe, Tom Berenger, Forest Whitaker, Johnny Depp",8,4,True
258,A Room with a View,1985,James Ivory,1h 57m,7.2,3.7,"Drama, Romance","E.M. Forster, Ruth Prawer Jhabvala","Maggie Smith, Helena Bonham Carter, Denholm Elliott, Julian Sands, Judi Dench",8,3,False
259,Children of a Lesser God,1986,Randa Haines,1h 59m,7.2,3.5,"Drama, Romance","Hesper Anderson, Mark Medoff","Marlee Matlin, William Hurt, Piper Laurie, Philip Bosco, John Rubinstein",5,1,False
260,Hannah and Her Sisters,1986,Woody Allen,1h 47m,7.8,4.0,"Comédia, Drama",Woody Allen,"Mia Farrow, Michael Caine, Dianne Wiest, Barbara Hershey, Max von Sydow",7,3,False
261,The Mission,1986,Roland Joffé,2h 5m,7.4,3.7,"Aventura, Drama, História",Robert Bolt,"Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn, Cherie Lunghi",7,1,False
262,Out of Africa,1985,Sydney Pollack,2h 41m,7.1,3.4,"Biografia, Drama, Romance","Karen Blixen, Judith Thurman, Errol Trzebinski","Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen, Malick Bowens",11,7,True
263,Kiss of the Spider Woman,1985,Hector Babenco,2h,7.3,3.7,Drama,Leonard Schrader,"William Hurt, Raul Julia, Sônia Braga, José Lewgoy, Milton Gonçalves",4,1,False
264,Prizzi's Honor,1985,John Huston,2h 10m,6.7,3.3,"Comédia, Drama, Policial, Romance","Richard Condon, Janet Roach","Jack Nicholson, Kathleen Turner, Anjelica Huston, Robert Loggia, William Hickey",8,1,False
265,The Color Purple,1985,Steven Spielberg,2h 34m,7.7,3.9,Drama,"Menno Meyjes, Alice Walker","Danny Glover, Whoopi Goldberg, Oprah Winfrey, Margaret Avery, Willard E. Pugh",11,0,False
266,Witness,1985,Peter Weir,1h 52m,7.3,3.7,"Drama, Policial, Romance, Suspense","William Kelley, Pamela Wallace, Earl W. Wallace","Harrison Ford, Kelly McGillis, Lukas Haas, Josef Sommer, Danny Glover",8,2,False
267,Amadeus,1984,Milos Forman,2h 40m,8.4,4.3,"Biografia, Drama, Musical","Peter Shaffer, Zdenek Mahler","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice, Simon Callow",11,8,True
268,A Passage to India,1984,David Lean,2h 44m,7.3,3.6,"Aventura, Drama, História","E.M. Forster, Santha Rama Rau, David Lean","Judy Davis, Victor Banerjee, Peggy Ashcroft, James Fox, Alec Guinness",11,2,False
269,A Soldier's Story,1984,Norman Jewison,1h 41m,7.2,3.6,"Drama, Guerra, Mistério, Policial",Charles Fuller,"Howard E. Rollins Jr., Adolph Caesar, David Alan Grier, Art Evans, Denzel Washington",3,0,False
270,Places in the Heart,1984,Robert Benton,1h 51m,7.4,3.5,Drama,Robert Benton,"Sally Field, Lindsay Crouse, Ed Harris, John Malkovich, Danny Glover",7,2,False
271,The Killing Fields,1984,Roland Joffé,2h 21m,7.8,3.9,"Biografia, Drama, Guerra, História",Bruce Robinson,"Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands, Craig T. Nelson",7,3,False
272,Terms of Endearment,1983,James L. Brooks,2h 12m,7.4,3.8,"Comédia, Drama",James L. Brooks,"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito, John Lithgow",11,5,True
273,Tender Mercies,1983,Bruce Beresford,1h 32m,7.3,3.7,"Drama, Musical",Horton Foote,"Robert Duvall, Tess Harper, Betty Buckley, Michael Pataki, Ellen Barkin",5,2,False
274,The Big Chill,1983,Lawrence Kasdan,1h 45m,7.1,3.5,"Comédia, Drama",Lawrence Kasdan,"Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt, Kevin Kline",3,0,False
275,The Dresser,1983,Peter Yates,1h 58m,7.4,3.6,Drama,Ronald Harwood,"Albert Finney, Tom Courtenay, Zena Walker, Eileen Atkins, Edward Fox",5,0,False
276,The Right Stuff,1983,Philip Kaufman,3h 13m,7.8,4.0,"Aventura, Biografia, Drama","Philip Kaufman, Tom Wolfe","Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid, Barbara Hershey",8,4,False
277,Gandhi,1982,Richard Attenborough,3h 11m,8.0,3.7,"Biografia, Drama, História",John Briley,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth, Candice Bergen",11,8,True
278,E.T. the Extra-Terrestrial,1982,Steven Spielberg,1h 55m,7.9,3.8,"Aventura, Família, Ficção científica",Melissa Mathison,"Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace, Robert MacNaughton",9,4,False
279,Missing,1982,Costa-Gavras,2h 2m,7.7,3.9,"Biografia, Drama, História, Mistério, Suspense","Costa-Gavras, Donald E. Stewart","Jack Lemmon, Sissy Spacek, Charles Cioffi, Melvyn Douglas, Melanie Mayron",4,1,False
280,Tootsie,1982,Sydney Pollack,1h 56m,7.4,3.7,"Comédia, Drama, Romance","Don McGuire, Larry Gelbart, Murray Schisgal","Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman, Bill Murray",10,1,False
281,The Verdict,1982,Sidney Lumet,2h 9m,7.7,4.0,Drama,David Mamet,"Paul Newman, Charlotte Rampling, Jack Warden, James Mason, Milo O'Shea",5,0,False
282,Chariots of Fire,1981,Hugh Hudson,2h 5m,7.1,3.4,"Biografia, Drama, Esportes",Colin Welland,"Ben Cross, Ian Charleson, Nigel Havers, Alice Krige, Ian Holm",7,4,True
283,Atlantic City,1980,Louis Malle,1h 44m,7.3,3.7,"Drama, Policial, Romance","Louis Malle, John Guare","Burt Lancaster, Susan Sarandon, Kate Reid, Al Waxman, Robert Joy",5,0,False
284,On Golden Pond,1981,Mark Rydell,1h 49m,7.6,3.7,Drama,Ernest Thompson,"Katharine Hepburn, Henry Fonda, Jane Fonda, Doug McKeon, Dabney Coleman",10,3,False
285,Raiders of the Lost Ark,1981,Steven Spielberg,1h 55m,8.4,4.2,"Ação, Aventura","Lawrence Kasdan, George Lucas, Philip Kaufman","Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Ronald Lacey",9,4,False
286,Reds,1981,Warren Beatty,3h 15m,7.3,3.9,"Biografia, Drama, História, Romance","Warren Beatty, Trevor Griffiths","Warren Beatty, Diane Keaton, Edward Herrmann, Maureen Stapleton, Jack Nicholson",12,3,False
287,Ordinary People,1980,Robert Redford,2h 4m,7.7,4.0,Drama,Alvin Sargent,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton, M. Emmet Walsh",6,4,True
288,Coal Miner's Daughter,1980,Michael Apted,2h 4m,7.5,3.7,"Biografia, Drama, Musical","Thomas Rickman, Loretta Lynn, George Vecsey","Sissy Spacek, Tommy Lee Jones, Levon Helm, Phyllis Boyens, Bill Anderson Jr.",7,1,False
289,Raging Bull,1980,Martin Scorsese,2h 9m,8.1,4.2,"Biografia, Drama, Esportes","Paul Schrader, Mardik Martin","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Theresa Saldana",8,2,False
290,Tess,1979,Roman Polanski,3h 6m,7.3,3.8,"Drama, Romance","Roman Polanski, John Brownjohn","Nastassja Kinski, John Collin, Tony Church, Peter Firth, Leigh Lawson",6,3,False
291,The Elephant Man,1980,David Lynch,2h 4m,8.2,4.3,"Biografia, Drama","Christopher De Vore, Eric Bergren, David Lynch","John Hurt, Anthony Hopkins, Anne Bancroft, John Gielgud, Wendy Hiller",8,0,False
292,Kramer vs. Kramer,1979,Robert Benton,1h 45m,7.8,4.1,Drama,"Avery Corman, Robert Benton","Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry, Howard Duff",9,5,True
293,All That Jazz,1979,Bob Fosse,2h 3m,7.8,4.3,"Drama, Musical, Musical","Robert Alan Aurthur, Bob Fosse","Roy Scheider, Jessica Lange, Ann Reinking, Leland Palmer, Cliff Gorman",9,4,False
294,Apocalypse Now,1979,Francis Ford Coppola,2h 27m,8.4,4.4,"Drama, Guerra, Mistério","John Milius, Francis Ford Coppola","Marlon Brando, Martin Sheen, Robert Duvall, Laurence Fishburne, Harrison Ford",8,2,False
295,Breaking Away,1979,Peter Yates,1h 41m,7.7,4.0,"Comédia, Drama, Esportes",Steve Tesich,"Dennis Christopher, Dennis Quaid, Daniel Stern, Jackie Earle Haley, Barbara Barrie",5,1,False
296,Norma Rae,1979,Martin Ritt,1h 54m,7.3,3.8,Drama,"Irving Ravetch, Harriet Frank Jr.","Sally Field, Beau Bridges, Ron Leibman, Pat Hingle, Barbara Baxley",4,2,False
297,The Deer Hunter,1978,Michael Cimino,3h 3m,8.1,4.2,"Drama, Guerra","Michael Cimino, Deric Washburn, Louis Garfinkle","Robert De Niro, Christopher Walken, John Cazale, John Savage, Meryl Streep",9,5,True
298,An Unmarried Woman,1978,Paul Mazursky,2h 4m,7.2,3.9,"Comédia, Drama, Romance",Paul Mazursky,"Jill Clayburgh, Alan Bates, Michael Murphy, Lynne Thigpen, Cliff Gorman",3,0,False
299,Coming Home,1978,Hal Ashby,2h 7m,7.3,3.8,"Drama, Guerra, Romance","Waldo Salt, Robert C. Jones, Nancy Dowd","Jane Fonda, Jon Voight, Bruce Dern, Penelope Milford, Robert Carradine",8,3,False
300,Heaven Can Wait,1978,"Warren Beatty, Buck Henry",1h 41m,6.9,3.4,"Comédia, Fantasia, Romance","Elaine May, Warren Beatty, Harry Segall","Warren Beatty, James Mason, Julie Christie, Jack Warden, Dyan Cannon",9,1,False
301,Midnight Express,1978,Alan Parker,2h 1m,7.5,3.7,"Biografia, Drama, Policial, Suspense","Oliver Stone, Gerald Di Pego","Brad Davis, Irene Miracle, John Hurt, Paul L. Smith, Randy Quaid",6,2,False
302,Annie Hall,1977,Woody Allen,1h 33m,7.9,4.0,"Comédia, Romance","Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton, Tony Roberts, Paul Simon, Carol Kane",5,4,True
303,Julia,1977,Fred Zinnemann,1h 57m,7.0,3.4,Drama,"Lillian Hellman, Alvin Sargent","Jane Fonda, Vanessa Redgrave, Jason Robards, Maximilian Schell, Meryl Streep",11,3,False
304,Star Wars,1977,George Lucas,2h 1m,8.6,4.2,"Aventura, Ação, Fantasia, Ficção científica",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing",11,6,False
305,The Goodbye Girl,1977,Herbert Ross,1h 51m,7.4,3.7,"Comédia, Drama, Romance",Neil Simon,"Richard Dreyfuss, Marsha Mason, Paul Benedict, Austin Pendleton, Quinn Cummings",5,1,False
306,The Turning Point,1977,Herbert Ross,1h 59m,6.8,3.3,"Drama, Música, Romance",Arthur Laurents,"Anne Bancroft, Shirley MacLaine, Mikhail Baryshnikov, Tom Skerritt, Leslie Browne",11,0,False
307,Rocky,1976,John G. Avildsen,2h,8.1,4.1,"Drama, Esportes",Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith",10,3,True
308,All the President's Men,1976,Alan J. Pakula,2h 18m,7.9,4.2,"Drama, História, Suspense",William Goldman,"Robert Redford, Dustin Hoffman, Jason Robards, Jane Alexander, Jack Warden",8,4,False
309,Bound for Glory,1976,Hal Ashby,2h 27m,7.2,3.6,"Biografia, Drama, Musical",Robert Getchell,"David Carradine, Ronny Cox, Melinda Dillon, Gail Strickland, Randy Quaid",6,2,False
310,Network,1976,Sidney Lumet,2h 1m,8.1,4.3,Drama,Paddy Chayefsky,"Faye Dunaway, William Holden, Peter Finch, Ned Beatty, Beatrice Straight",10,4,False
311,Taxi Driver,1976,Martin Scorsese,1h 54m,8.2,4.1,"Drama, Policial",Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle",4,0,False
312,One Flew Over the Cuckoo's Nest,1975,Milos Forman,2h 13m,8.7,4.4,Drama,"Lawrence Hauben, Bo Goldman, Ken Kesey","Jack Nicholson, Louise Fletcher, Brad Dourif, Danny DeVito, Christopher Lloyd",9,5,True
313,Barry Lyndon,1975,Stanley Kubrick,3h 5m,8.1,4.4,"Aventura, Drama, Guerra",Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Kruger, Steven Berkoff",7,4,False
314,Dog Day Afternoon,1975,Sidney Lumet,2h 5m,8.0,4.3,"Biografia, Drama, Policial, Suspense",Frank Pierson,"Al Pacino, John Cazale, Penelope Allen, Sully Boyar, Chris Sarandon",6,1,False
315,Jaws,1975,Steven Spielberg,2h 4m,8.1,3.9,"Aventura, Suspense, Terror","Peter Benchley, Carl Gottlieb","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton",4,3,False
316,Nashville,1975,Robert Altman,2h 40m,7.6,4.2,"Comédia, Drama, Musical","Robert Altman, Joan Tewkesbury","Ronee Blakley, Keith Carradine, Lily Tomlin, Karen Black, Ned Beatty",5,1,False
317,The Godfather Part II,1974,Francis Ford Coppola,3h 22m,9.0,4.6,"Drama, Policial","Francis Ford Coppola, Mario Puzo","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, Takua Shire",11,6,True
318,Chinatown,1974,Roman Polanski,2h 10m,8.1,4.3,"Drama, Mistério, Suspense","Robert Towne, Roman Polanski","Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, John Hillerman",11,1,False
319,Lenny,1974,Bob Fosse,1h 51m,7.5,3.9,"Biografia, Drama",Julian Barry,"Dustin Hoffman, Valerie Perrine, Jan Miner, Stanley Beck, Frankie Man",6,0,False
320,The Conversation,1974,Francis Ford Coppola,1h 53m,7.7,4.2,"Drama, Mistério, Suspense",Francis Ford Coppola,"Gene Hackman, John Cazale, Allen Garfield, Robert Duvall, Harrison Ford",3,0,False
321,The Towering Inferno,1974,John Guillermin,2h 45m,7.0,3.5,"Ação, Drama, Suspense","Richard Martin Stern, Thomas N. Scortia, Frank M. Robinson","Paul Newman, Steve McQueen, William Holden, Faye Dunaway, Fred Astaire",8,3,False
322,The Sting,1973,George Roy Hill,2h 9m,8.2,4.2,"Comédia, Drama, Policial",David S. Ward,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walson",10,7,True
323,A Touch of Class,1973,Melvin Frank,1h 46m,6.5,3.3,"Comédia, Romance",Melvin Frank,"George Segal, Glenda Jackson, Paul Sorvino, K Callan, John Randolph",5,1,False
324,American Graffiti,1973,George Lucas,1h 50m,7.4,3.7,"Comédia, Drama",George Lucas,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Cindy Williams, Charles Martin Smith",5,0,False
325,Cries and Whispers,1972,Ingmar Bergman,1h 32m,7.9,4.2,Drama,Ingmar Bergman,"Harriet Andersson, Liv Ullmann, Kari Sylwan, Ingrid Thulin, Anders Ek",5,1,False
326,The Exorcist,1973,William Friedkin,2h 2m,8.1,4.0,Terror,William Peter Blatty,"Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb, Jason Miller",10,2,False
327,The Godfather,1972,Francis Ford Coppola,2h 55m,9.2,4.5,"Drama, Policial",Francis Ford Coppola,"Marlon Brando, Al Pacino, Robert Duvall, Diane Keaton, James Caan",11,3,True
328,Cabaret,1972,Bob Fosse,2h 4m,7.8,4.2,"Drama, Musical, Musical, Romance","Joe Masteroff, John Van Druten, Christopher Isherwood","Liza Minnelli, Michael York, Helmut Griem, Joel Grey, Fritz Wepper",10,8,False
329,Deliverance,1972,John Boorman,1h 49m,7.6,3.9,"Aventura, Drama, Suspense",James Dickey,"Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox, Billy Redden",3,0,False
330,Sounder,1972,Martin Ritt,1h 45m,7.5,3.7,"Drama, Família",Lonne Elder III,"Cicely Tyson, Paul Winfield, Kevin Hooks, Taj Mahal, Paul Hamilton",4,0,False
